case_name,method,overshoot_pct,rise_time_s,settling_time_s,steady_error_rpm,mean_Pin_W,mean_is_A,mean_Pout_W,efficiency_pct,peak_iq_A,peak_Te_Nm,load_recovery_time_s,optimizer_convergence_time_s,gradient_rms,projection_samples,freeze_samples,pin_reduction_vs_id0_pct
speed_step,baseline,3.96581688226862,0.5053,0.5447,-1.54614099301398e-11,362.26809472614,3.30758064142237,349.139987086728,96.3761347381887,24.7819926672119,15.6125533438292,NaN,NaN,0,9,40001,0
speed_step,optimization,3.96244758205507,0.5052,0.5447,-0.0270048772974329,362.035899123727,3.2775040341203,349.145988798643,96.439606070231,24.7819926672119,15.6125533438292,NaN,NaN,127.142752270055,41,35676,0.0640949633139599
efficiency_optimization,baseline,3.36005659439615,0.0171,0.0532,-1.06865627458319e-11,272.088629455993,3.2743362747172,259.223095808065,95.2715651243352,24.8414066828867,15.65003023561,NaN,NaN,0,3,40001,0
efficiency_optimization,optimization,3.36005659439615,0.0171,0.0532,0.0527831796498566,271.827754481223,3.24234657034787,259.210778765539,95.3584672513106,24.8414066828867,15.65003023561,NaN,NaN,140.819247980125,3,28670,0.0958786757434048
load_step,baseline,3.36005659439615,0.0171,2.0353,-1.43245415529236e-11,713.711618237215,8.03624103662153,636.214214238805,89.1416361989725,24.8414066828867,15.65003023561,0.0352999999999999,NaN,0,3,40001,0
load_step,optimization,3.36005659439615,0.0171,2.0344,-0.0185592259172711,708.218846112243,7.74561648595541,636.229512999259,89.8351616346055,24.8414066828867,15.65003023561,0.0344000000000002,3.1349,285.670242884411,3,33377,0.769606656892921
parameter_nominal,baseline,3.36005659439615,0.0171,0.0532,-1.06865627458319e-11,272.088629455993,3.2743362747172,259.223095808065,95.2715651243352,24.8414066828867,15.65003023561,NaN,NaN,0,3,40001,0
parameter_nominal,optimization,3.36005659439615,0.0171,0.0532,0.0527831796498566,271.827754481223,3.24234657034787,259.210778765539,95.3584672513106,24.8414066828867,15.65003023561,NaN,NaN,140.819247980125,3,28670,0.0958786757434048
parameter_perturbed,baseline,3.94813291206987,0.0195,0.0594,-1.06865627458319e-11,278.283145656823,3.63815141635247,259.223095808065,93.1508428928497,24.6067088161456,13.951975962702,NaN,NaN,0,3,40001,0
parameter_perturbed,optimization,3.94813291206987,0.0195,0.0594,-0.00654148447896832,278.497957545324,3.65845907475257,259.224124209295,93.0793743528123,24.6067088161456,13.951975962702,NaN,NaN,179.876826266876,3,21532,-0.0771918428599621
constraint_test,baseline,0.512856362368007,0.0426,0.0605,8.00355337560177e-11,1295.65357796005,9.02150217042644,1178.4555759281,90.9545264239278,24.9725808498719,14.1594531982194,NaN,NaN,0,3,40001,0
constraint_test,optimization,0.512856362368007,0.0426,0.0605,0.000737027053806839,1294.33424376568,8.9705917821382,1178.45508210543,91.0472009394937,24.9725808498719,14.1594531982194,NaN,1.5268,1429.74368584145,3,36954,0.101827696601019
