case_name,method,overshoot_pct,rise_time_s,settling_time_s,steady_error_rpm,mean_Pin_W,mean_is_A,mean_Pout_W,efficiency_pct,peak_iq_A,peak_Te_Nm,load_recovery_time_s,optimizer_convergence_time_s,gradient_rms,projection_samples,freeze_samples,pin_reduction_vs_id0_pct
speed_step,baseline,3.96581688226862,0.5053,0.5447,-1.54614099301398e-11,362.26809472614,3.30758064142237,349.139987086728,96.3761347381887,24.7819926672119,15.6125533438292,NaN,NaN,0,9,40001,0
speed_step,optimization,3.96537736776478,0.5053,0.5447,-7.36068785592056e-08,362.260445108186,3.30661685970981,349.139987041904,96.3781698379017,24.7819926672119,15.6125533438292,NaN,0.2373,78.7947264997996,41,39916,0.00211159030158478
efficiency_optimization,baseline,3.36005659439615,0.0171,0.0532,-1.06865627458319e-11,272.088629455993,3.2743362747172,259.223095808065,95.2715651243352,24.8414066828867,15.65003023561,NaN,NaN,0,3,40001,0
efficiency_optimization,optimization,3.36005659439615,0.0171,0.0532,-4.49552855617179e-08,272.08506019405,3.27388205105006,259.223095773071,95.2728149014118,24.8414066828867,15.65003023561,NaN,0.2415,96.0152752421301,3,39944,0.001311801213803
load_step,baseline,3.36005659439615,0.0171,2.0353,-1.43245415529236e-11,713.711618237215,8.03624103662153,636.214214238805,89.1416361989725,24.8414066828867,15.65003023561,0,NaN,0,3,40001,0
load_step,optimization,3.36005659439615,0.0171,2.0353,-4.49681715481635e-05,713.681722657559,8.03469011586234,636.214238254341,89.1453736387499,24.8414066828867,15.65003023561,0,0.2415,138.839362268432,3,39947,0.00418874779269091
parameter_nominal,baseline,3.36005659439615,0.0171,0.0532,-1.06865627458319e-11,272.088629455993,3.2743362747172,259.223095808065,95.2715651243352,24.8414066828867,15.65003023561,NaN,NaN,0,3,40001,0
parameter_nominal,optimization,3.36005659439615,0.0171,0.0532,-4.49552855617179e-08,272.08506019405,3.27388205105006,259.223095773071,95.2728149014118,24.8414066828867,15.65003023561,NaN,0.2415,96.0152752421301,3,39944,0.001311801213803
parameter_perturbed,baseline,3.94813291206987,0.0195,0.0594,-1.06865627458319e-11,278.283145656823,3.63815141635247,259.223095808065,93.1508428928497,24.6067088161456,13.951975962702,NaN,NaN,0,3,40001,0
parameter_perturbed,optimization,3.94813291206987,0.0195,0.0594,-1.66138614805641e-07,278.281346144929,3.6379796831004,259.223095654509,93.1514451994588,24.6067088161456,13.951975962702,NaN,0.2602,115.673356818043,3,39929,0.000646647819739257
constraint_test,baseline,0.512856362368007,0.0426,0.0605,8.00355337560177e-11,1295.65357796005,9.02150217042644,1178.4555759281,90.9545264239278,24.9725808498719,14.1594531982194,NaN,NaN,0,3,40001,0
constraint_test,optimization,0.512856362368007,0.0426,0.0605,-3.43984304181251e-07,1295.63971076336,9.02096842512163,1178.45557611578,90.9554999222331,24.9725808498719,14.1594531982194,NaN,0.2892,599.764348894264,3,39955,0.00107028583337257
